terrain,friction,texture,moisture,slope,difficulty
sand,0.175,0.59,0.187,0.363,0.421303589
water,0.349,0.924,0.987,0.143,0.857978466
sand,0.884,0.514,0.142,0.457,0.591867639
rock,0.24,0.562,0.263,0.786,0.746736611
rock,0.114,0.603,0.254,0.616,0.279018131
rock,0.711,0.403,0.33,0.637,0.117597229
rock,0.746,0.43,0.352,0.758,0.072200954
water,0.377,0.911,0.995,0.022,0.646779431
mud,0.472,0.771,0.811,0.562,0.990426058
grass,0.62,0.313,0.392,0.289,0.641771897
rock,0.138,0.496,0.259,0.674,0.911938014
sand,0.859,0.549,0.243,0.41,0.012706285
rock,0.809,0.564,0.333,0.633,0.60638241
sand,0.309,0.623,0.105,0.441,0.996360801
sand,0.112,0.572,0.186,0.484,0.704289701
rock,0.847,0.575,0.256,0.744,0.29809782
water,0.501,0.875,0.98,0.088,0.751545709
sand,0.532,0.538,0.166,0.323,0.543823071
sand,0.647,0.609,0.198,0.325,0.993124014
rock,0.593,0.518,0.284,0.634,0.731944227
sand,0.855,0.627,0.182,0.399,0.712087675
sand,0.855,0.635,0.255,0.406,0.68770789
rock,0.794,0.526,0.328,0.743,0.635721309
rock,0.609,0.524,0.265,0.61,0.627638052
grass,0.741,0.271,0.372,0.366,0.170555611
water,0.642,0.866,1,0.135,0.514780313
water,0.559,0.937,1,0.084,0.308423003
sand,0.203,0.612,0.17,0.341,0.013576772
water,0.749,0.941,0.988,0.162,0.700500227
sand,0.757,0.515,0.292,0.385,0.925469287
grass,0.601,0.275,0.371,0.299,0.837519257
rock,0.756,0.595,0.396,0.719,0.784311225
rock,0.621,0.528,0.355,0.654,0.452650522
rock,0.265,0.515,0.386,0.686,0.490419982
water,0.319,0.935,0.969,0.143,0.479397189
grass,0.272,0.41,0.392,0.338,0.247951175
water,0.402,1,0.978,0.139,0.85971148
water,0.131,0.821,1,0.042,0.663526976
grass,0.595,0.239,0.372,0.288,0.550685077
grass,0.369,0.219,0.437,0.28,0.863458383
grass,0.625,0.263,0.434,0.321,0.988890883
grass,0.408,0.303,0.398,0.317,0.344528153
rock,0.645,0.512,0.365,0.708,0.009116221
mud,0.372,0.723,0.805,0.623,0.794030842
mud,0.309,0.707,0.842,0.485,0.218389392
grass,0.497,0.262,0.375,0.28,0.692822122
mud,0.654,0.846,0.764,0.442,0.544354966
mud,0.379,0.855,0.837,0.423,0.064407975
grass,0.849,0.385,0.422,0.239,0.364617032
mud,0.131,0.798,0.812,0.464,0.692477784
water,0.434,0.941,0.983,0.166,0.263202705
sand,0.874,0.65,0.277,0.402,0.720759556
sand,0.538,0.575,0.144,0.41,0.149990825
grass,0.439,0.319,0.341,0.295,0.237816099
rock,0.555,0.533,0.347,0.718,0.820972047
grass,0.561,0.255,0.443,0.37,0.637105385
rock,0.685,0.582,0.318,0.6,0.625133572
sand,0.202,0.598,0.186,0.461,0.237201532
grass,0.3,0.304,0.425,0.174,0.537003065
water,0.564,0.853,1,0.101,0.011947522
mud,0.794,0.761,0.926,0.61,0.421338194
rock,0.549,0.39,0.217,0.734,0.743827906
mud,0.291,0.803,0.779,0.519,0.494898036
mud,0.644,0.925,0.776,0.6,0.152731285
grass,0.692,0.249,0.481,0.265,0.048254738
mud,0.291,0.949,0.676,0.522,0.290728269
water,0.402,0.971,1,0.129,0.806833029
mud,0.527,0.776,0.787,0.474,0.132894917
grass,0.497,0.301,0.482,0.278,0.522308596
water,0.412,0.893,1,0.073,0.892195484
sand,0.338,0.685,0.218,0.404,0.25123249
mud,0.18,0.826,0.721,0.527,0.68246456
grass,0.143,0.359,0.371,0.306,0.500817865
sand,0.867,0.618,0.177,0.435,0.283255633
sand,0.778,0.594,0.134,0.302,0.88673427
rock,0.384,0.516,0.358,0.689,0.882227131
water,0.865,0.88,0.927,0.049,0.217622573
mud,0.641,0.727,0.898,0.515,0.258007569
grass,0.486,0.341,0.498,0.314,0.598132608
rock,0.494,0.425,0.281,0.694,0.668739862
water,0.167,0.887,1,0.126,0.895509092
rock,0.173,0.478,0.296,0.75,0.31532502
water,0.582,0.932,1,0.097,0.329083663
water,0.543,0.978,1,0.047,0.955637761
mud,0.27,0.86,0.813,0.421,0.2891867
water,0.857,0.934,1,0.102,0.186980531
rock,0.725,0.469,0.269,0.712,0.401665674
water,0.191,0.891,1,0.052,0.952307423
mud,0.845,0.784,0.808,0.536,0.778939686
mud,0.879,0.776,0.754,0.477,0.176121458
rock,0.897,0.48,0.299,0.617,0.21813399
sand,0.145,0.579,0.181,0.463,0.626371663
sand,0.69,0.576,0.17,0.457,0.37156293
water,0.537,0.948,0.943,0,0.059918179
grass,0.665,0.247,0.403,0.272,0.776975451
water,0.875,0.864,0.961,0.07,0.728415437
rock,0.65,0.421,0.276,0.782,0.524302588
rock,0.77,0.571,0.354,0.695,0.812358029
rock,0.793,0.46,0.332,0.625,0.057436777
rock,0.771,0.533,0.251,0.744,0.850726941
rock,0.441,0.524,0.318,0.638,0.656863199
mud,0.278,0.866,0.807,0.487,0.496972978
sand,0.417,0.589,0.285,0.362,0.546698271
rock,0.814,0.453,0.369,0.672,0.430407288
grass,0.217,0.222,0.323,0.347,0.448092469
grass,0.511,0.161,0.443,0.376,0.08345458
grass,0.287,0.308,0.463,0.236,0.959927428
grass,0.565,0.339,0.428,0.331,0.071889507
mud,0.791,0.824,0.783,0.463,0.12106618
grass,0.804,0.224,0.521,0.265,0.517882911
rock,0.289,0.552,0.333,0.725,0.849427486
water,0.826,0.865,1,0.049,0.718007577
grass,0.574,0.255,0.468,0.324,0.360349147
mud,0.38,0.764,0.823,0.537,0.026973681
mud,0.667,0.804,0.771,0.478,0.207864894
grass,0.485,0.226,0.399,0.366,0.50919643
water,0.402,0.898,0.989,0.036,0.040255343
grass,0.664,0.321,0.339,0.367,0.171891006
mud,0.299,0.855,0.833,0.403,0.678358155
sand,0.364,0.609,0.278,0.535,0.608678302
rock,0.448,0.433,0.285,0.68,0.04839455
mud,0.303,0.807,0.908,0.442,0.074959213
grass,0.424,0.247,0.322,0.288,0.256673
rock,0.557,0.444,0.353,0.648,0.897758428
grass,0.693,0.232,0.484,0.319,0.813220528
grass,0.714,0.204,0.39,0.368,0.9595041
sand,0.758,0.572,0.191,0.35,0.145067097
rock,0.695,0.556,0.352,0.729,0.153099083
rock,0.645,0.613,0.325,0.623,0.760853456
sand,0.29,0.571,0.1,0.452,0.095583436
mud,0.42,0.854,0.758,0.521,0.0497468
grass,0.482,0.28,0.399,0.354,0.034147927
water,0.166,0.817,0.932,0.094,0.684512129
grass,0.523,0.335,0.376,0.278,0.873770133
grass,0.449,0.312,0.333,0.341,0.94677953
mud,0.742,0.891,0.781,0.435,0.935450166
grass,0.882,0.223,0.383,0.213,0.323143468
sand,0.545,0.74,0.218,0.4,0.042773603
sand,0.358,0.68,0.195,0.381,0.62930093
rock,0.135,0.499,0.325,0.728,0.503223145
water,0.84,0.885,1,0.155,0.519280949
grass,0.835,0.264,0.452,0.327,0.861138751
grass,0.302,0.305,0.444,0.351,0.965994608
mud,0.656,0.791,0.838,0.516,0.935952545
sand,0.16,0.626,0.355,0.425,0.544924134
water,0.233,0.885,1,0.094,0.549244845
rock,0.273,0.571,0.43,0.723,0.112374619
sand,0.336,0.606,0.221,0.408,0.588713824
rock,0.897,0.487,0.296,0.716,0.393108248
mud,0.658,0.851,0.781,0.492,0.738280931
mud,0.407,0.719,0.875,0.54,0.927000447
grass,0.69,0.317,0.482,0.264,0.393280902
water,0.832,0.901,1,0.099,0.832060459
rock,0.867,0.429,0.357,0.766,0.884399081
sand,0.146,0.515,0.136,0.353,0.213917291
mud,0.416,0.851,0.723,0.392,0.863942705
grass,0.185,0.348,0.462,0.318,0.642114166
grass,0.369,0.309,0.394,0.287,0.68987739
rock,0.236,0.586,0.337,0.751,0.924748891
mud,0.617,0.822,0.764,0.493,0.29262604
water,0.411,0.962,1,0.07,0.169682958
mud,0.284,0.821,0.723,0.496,0.617136522
rock,0.313,0.486,0.231,0.755,0.474812107
rock,0.388,0.447,0.372,0.729,0.416335167
mud,0.308,0.77,0.67,0.378,0.232045401
rock,0.463,0.487,0.319,0.709,0.38676855
mud,0.126,0.868,0.795,0.512,0.536075702
sand,0.324,0.638,0.163,0.399,0.906234284
mud,0.429,0.817,0.79,0.469,0.415336606
mud,0.582,0.844,0.758,0.56,0.44439302
rock,0.317,0.526,0.377,0.762,0.842288731
rock,0.207,0.513,0.39,0.59,0.440537394
grass,0.161,0.225,0.366,0.26,0.039439967
grass,0.852,0.357,0.414,0.293,0.779520458
sand,0.433,0.577,0.134,0.447,0.465296643
grass,0.565,0.354,0.454,0.302,0.613676944
mud,0.835,0.859,0.852,0.466,0.316462413
rock,0.166,0.466,0.285,0.735,0.488015029
grass,0.801,0.347,0.401,0.289,0.507617528
grass,0.541,0.282,0.395,0.294,0.348856395
sand,0.232,0.582,0.119,0.399,0.960250022
sand,0.429,0.613,0.277,0.429,0.039195414
mud,0.722,0.814,0.762,0.485,0.244274549
rock,0.484,0.502,0.262,0.734,0.042085229
sand,0.888,0.533,0.192,0.396,0.329628019
grass,0.401,0.294,0.45,0.247,0.847225924
rock,0.7,0.614,0.27,0.698,0.125995699
rock,0.414,0.361,0.202,0.649,0.889178125
grass,0.763,0.343,0.356,0.302,0.95639831
sand,0.555,0.653,0.221,0.441,0.793972031
grass,0.151,0.232,0.509,0.246,0.921569155
rock,0.129,0.477,0.237,0.718,0.219483343
water,0.207,0.85,0.935,0.059,0.65522091
water,0.111,0.993,0.924,0.11,0.971710565
mud,0.16,0.855,0.718,0.543,0.239510514
grass,0.653,0.358,0.46,0.194,0.168459852
grass,0.527,0.306,0.475,0.244,0.560326819
mud,0.7,0.866,0.809,0.482,0.396145669
mud,0.831,0.8,0.777,0.516,0.741910537
mud,0.568,0.868,0.89,0.492,0.207725847
rock,0.681,0.493,0.309,0.698,0.183783211
grass,0.706,0.266,0.454,0.402,0.415803761
rock,0.402,0.591,0.274,0.639,0.959907647
mud,0.293,0.799,0.802,0.557,0.363625953
grass,0.264,0.255,0.338,0.283,0.044369604
rock,0.301,0.455,0.331,0.727,0.949661386
rock,0.32,0.455,0.31,0.806,0.888873801
mud,0.266,0.842,0.755,0.534,0.913175705
grass,0.803,0.295,0.356,0.319,0.377252341
mud,0.706,0.915,0.881,0.58,0.911488857
grass,0.138,0.359,0.499,0.356,0.894829199
water,0.315,0.913,0.989,0.06,0.722356172
sand,0.118,0.67,0.203,0.415,0.556879486
sand,0.499,0.575,0.22,0.314,0.288319259
sand,0.481,0.507,0.207,0.373,0.378064467
mud,0.765,0.751,0.716,0.516,0.645343169
water,0.346,0.907,1,0.07,0.404052823
grass,0.753,0.289,0.296,0.314,0.898135343
rock,0.874,0.541,0.263,0.699,0.88114225
grass,0.171,0.294,0.425,0.327,0.628710348
rock,0.733,0.537,0.33,0.679,0.196656239
grass,0.572,0.375,0.359,0.253,0.178760699
water,0.484,0.894,0.977,0.174,0.798924833
rock,0.436,0.528,0.27,0.675,0.630561194
mud,0.728,0.712,0.795,0.533,0.682232991
grass,0.611,0.294,0.399,0.372,0.864023723
grass,0.744,0.238,0.433,0.308,0.783776244
rock,0.823,0.507,0.274,0.657,0.129539587
mud,0.594,0.812,0.819,0.491,0.738609106
mud,0.884,0.812,0.825,0.551,0.122600218
water,0.586,0.876,1,0.11,0.583086872
mud,0.609,0.915,0.787,0.44,0.049668027
mud,0.544,0.737,0.809,0.53,0.725867066
mud,0.173,0.734,0.838,0.538,0.697839915
sand,0.681,0.683,0.242,0.382,0.649841814
water,0.538,0.865,1,0.131,0.859457215
grass,0.461,0.253,0.35,0.312,0.630354329
rock,0.828,0.615,0.278,0.69,0.423973221
grass,0.338,0.349,0.319,0.235,0.283128008
water,0.519,0.87,1,0.154,0.523305729
rock,0.658,0.511,0.283,0.738,0.281377342
water,0.737,0.997,1,0.129,0.427436205
mud,0.467,0.835,0.77,0.577,0.446232868
rock,0.774,0.564,0.284,0.747,0.204271199
mud,0.715,0.84,0.861,0.534,0.4032927
grass,0.153,0.347,0.435,0.189,0.354357559
grass,0.137,0.302,0.394,0.36,0.436816187
rock,0.597,0.501,0.338,0.704,0.939803421
rock,0.378,0.513,0.339,0.716,0.581761503
water,0.267,0.937,0.98,0.116,0.379292385
water,0.564,0.886,0.927,0.139,0.796776
mud,0.373,0.806,0.755,0.556,0.461133476
rock,0.53,0.484,0.233,0.732,0.711764939
grass,0.468,0.306,0.458,0.324,0.536978287
water,0.568,0.837,1,0.112,0.614544426
water,0.42,1,1,0,0.598555202
grass,0.658,0.263,0.299,0.286,0.949005834
water,0.244,0.882,1,0.053,0.879656109
mud,0.657,0.759,0.911,0.561,0.444019454
rock,0.429,0.531,0.356,0.731,0.675505146
grass,0.799,0.29,0.292,0.277,0.693631094
rock,0.512,0.452,0.388,0.682,0.134733035
water,0.878,0.933,1,0.08,0.918634631
water,0.582,0.94,0.988,0.079,0.966997432
grass,0.279,0.297,0.423,0.228,0.65712872
mud,0.757,0.767,0.748,0.417,0.892409399
sand,0.376,0.71,0.2,0.401,0.540010303
grass,0.378,0.317,0.481,0.354,0.318573588
sand,0.125,0.536,0.231,0.373,0.989094561
sand,0.539,0.671,0.203,0.415,0.134824481
mud,0.528,0.757,0.804,0.537,0.041031749
sand,0.385,0.737,0.141,0.35,0.015964768
sand,0.815,0.604,0.193,0.399,0.587610354
mud,0.203,0.851,0.718,0.467,0.718034045
sand,0.364,0.496,0.251,0.48,0.355620268
sand,0.357,0.536,0.091,0.478,0.180839037
sand,0.174,0.667,0.243,0.35,0.451360179
grass,0.485,0.316,0.449,0.319,0.341176779
grass,0.65,0.402,0.466,0.353,0.237382174
grass,0.509,0.324,0.404,0.342,0.384292466
mud,0.226,0.807,0.846,0.504,0.596343766
water,0.402,0.986,0.992,0.165,0.359542962
sand,0.102,0.651,0.141,0.355,0.982027672
sand,0.795,0.59,0.277,0.385,0.011711486
mud,0.168,0.745,0.795,0.456,0.185892721
sand,0.578,0.481,0.13,0.439,0.070063209
grass,0.889,0.278,0.377,0.271,0.581199769
water,0.529,0.841,0.979,0.091,0.785437624
rock,0.839,0.63,0.323,0.731,0.518822934
sand,0.289,0.567,0.317,0.435,0.78269999
grass,0.708,0.266,0.426,0.255,0.849852172
rock,0.525,0.424,0.31,0.753,0.228495178
water,0.676,0.887,1,0.123,0.095083434
rock,0.15,0.467,0.349,0.646,0.45053144
grass,0.218,0.387,0.413,0.234,0.681667025
rock,0.206,0.508,0.276,0.699,0.109308931
mud,0.65,0.8,0.816,0.543,0.412513784
rock,0.776,0.493,0.297,0.744,0.213733382
sand,0.7,0.639,0.205,0.418,0.909968706
sand,0.124,0.577,0.266,0.402,0.539337306
mud,0.794,0.833,0.773,0.526,0.509624863
grass,0.383,0.381,0.426,0.257,0.638885502
sand,0.418,0.623,0.247,0.484,0.346704735
water,0.184,0.888,0.967,0.184,0.55018964
